,종목명,업종명
372,삼영,화학
373,삼영무역,유통업
374,삼영전자,전기전자
375,삼원강재,운수장비
376,삼익THK,기계
377,삼익악기,기타제조업
378,삼일씨엔에스,비금속광물
379,삼일제약,의약품
380,삼정펄프,종이목재
381,삼진제약,의약품
382,삼천리,전기가스업
383,삼호개발,건설업
384,삼화왕관,기계
385,삼화전기,전기전자
386,삼화전자,전기전자
387,삼화콘덴서,전기전자
388,삼화페인트,화학
389,상상인증권,증권
390,상신브레이크,운수장비
391,새론오토모티브,운수장비
392,샘표,기타금융
393,샘표식품,음식료품
394,서연,기타금융
395,서연이화,운수장비
396,서울가스,전기가스업
397,서울식품,음식료품
398,서원,철강금속
399,서흥,화학
400,선도전기,전기전자
401,선진,음식료품
402,성문전자,전기전자
403,성보화학,화학
404,성신양회,비금속광물
405,성안머티리얼스,섬유의복
406,성창기업지주,서비스업
407,세기상사,유통업
408,세방,운수창고업
409,세방전지,전기전자
410,세아베스틸지주,철강금속
411,세아제강,철강금속
412,세아제강지주,기타금융
413,세아특수강,철강금속
414,세아홀딩스,철강금속
415,세우글로벌,유통업
416,세원이앤씨,기계
417,세원정공,운수장비
418,세이브존I&C,유통업
419,세진중공업,운수장비
420,셀트리온,의약품
421,솔루스첨단소재,전기전자
422,솔루엠,전기전자
423,송원산업,화학
424,수산중공업,기계
425,스카이라이프,서비스업
426,스틱인베스트먼트,기타금융
427,시디즈,기타제조업
428,신대양제지,종이목재
429,신도리코,전기전자
430,신라교역,"농업, 임업 및 어업"
431,신성이엔지,전기전자
432,신성통상,유통업
433,신세계,유통업
434,신세계 I&C,서비스업
435,신세계건설,건설업
436,신세계인터내셔날,유통업
437,신세계푸드,서비스업
438,신송홀딩스,유통업
439,신영와코루,섬유의복
440,신영증권,증권
441,신원,섬유의복
442,신일전자,유통업
443,신풍,유통업
444,신풍제약,의약품
445,신한지주,기타금융
446,신흥,유통업
447,쌍방울,섬유의복
448,쌍용C&E,비금속광물
449,써니전자,전기전자
450,씨아이테크,기타제조업
451,씨에스윈드,기계
452,씨티알모빌리티,운수장비
453,아남전자,전기전자
454,아모레G,화학
455,아모레퍼시픽,화학
456,아세아,서비스업
457,아세아시멘트,비금속광물
458,아세아제지,종이목재
459,아센디오,서비스업
460,아시아나IDT,서비스업
